registered_num,year_processed,objectives_activities,achievements_performance,grant_policy,error
239677,2024,"The charity's objects are such charitable purposes as the trustees shall think It whether in England and Wales or elsewhere. The capital and income of the Trust is held for general charitable purposes. The trustees make a number of grants to educational, cultural and socially supportive charities plus a number of donations to other charities.","During the year the Trust made grants to 16 (2023: 27) institutions totalling £77,892 (2023: £90,910) in furtherance of the charitable objects of the Trust. There was also one donation returned that was paid in the prior year. This was for £4,263 and has been deducted from the grants paid during the year to give the Sure of £73,629 in the receipts and payments account.",,
280568,2024,"To relieve the patients and former patients of the hospital who are sick, convalescent, disabled, handicapped, infirm or in need of financial assistance and, generally, to support the charitable work of the said hospital. To supplement the hospital service by provision of equipment and facilities for the relief of present or former patients in need. To provide amenities in the hospital for patients and staff including a tea bar. To encourage and maintain public interest in the hospital and raise funds to achieve these needs.","The Friends continue to be able to support the hospital throughout the year by the generosity of the public and fundraising of local organizations to enable the purchase of medical equipment, other equipment and furniture, sanitized water and maintenance and renovation of the gardens to name but a few of the areas. Our annual feet continues to be a great success following the re-opening in 2023 post Covid. For 2024 the Trustees decided to focus on the feet being a community event and provided free entertainment and activities for children, as well as being a fundraising event for the Friends of Deal Hospital which resulted in a profit of £4,819. The volunteers in the tea bar continue to do a sterling service to the patients and staff and thanks must go to all of the tea bar team, and we are extremely grateful in seeing them all back supporting the tea-bar.",,
506386,2024,"Sheffield Area Kidney Association (SAKA) was established to offer help and assistance to renal patients and their relatives, and to promote and encourage research into renal disease and kidney failure; and to disseminate the results thereof.

The objectives of the charity are set out in its governing document, as adopted in November 2021.
Summary of the main activities undertaken for the public benefit in relation to these objectives

In planning our activities for the year we kept in mind the Charity Commissions guidance on public benefit at our trustee meetings:

The focus of our activities remains advancing grants and assistance to renal patients in difficulty (following the advice of the renal social worker) and in awarding grants to the medical profession for studies into renal disease.

In addition we help to keep Renal care at the forefront of the minds of the various Hospital trusts through our attendance of Directorate Management Team meetings.

Finally, we continue to keep Renal patients informed with news and updates through our quarterly newsletter. We are grateful to Margaret Telling for continuing the role of editor.","SAKE Performance and Achievements 2023-24
During this period, the Board of SAKE CO has met regularly to maintain oversight of the affairs of the charity, meeting six times in all, either face-to-face or virtually, to conduct business as appropriate, and provide the focus necessary to ensure that our charitable objects are being met. As ever, all meetings have been formally recorded in minutes that were subsequently approved and filed for easy access if required. These include a note of discussion topics and decisions taken, not least in respect of grant aid for patients, and other expenditures.

The standing agenda includes an activity report from the Chairman and, as required by our Constitution, a financial update from the Treasurer, as well as regular reports on relevant medical and social work issues, including grant applications. Issues of interest or concern are considered on an ad how basis, with any necessary action delegated to (a) named individual(s) who subsequently report back to the Board on progress to ensure that actions are carried through as well as possible.

From a governance point of view, we were pleased to welcome Victoria Broadly to the Board.
This year Board members have, in particular, addressed the protocols around grant aid to patients, and have updated policy and procedures, taking care to ensure fairness and equality across the different categories of grant support. We revisited and confirmed arrangements for our meeting cycle, dates and venues, and considered possible changes to the SAKE website. The necessary steps in securing shell-company status for the original entity that was SAKE were agreed and adopted, but have not yet been finalised.

The long-awaited letter to all renal patients was eventually sent out via the hospital service to (re-) introduce them to SAKE CIO, and remind them of the services that we offer to them, their families and carers. Similarly, we carried through our investigation of the possibilities offered by local authority roadside signage and large retail centres, but negotiations with the local authority have proved protracted through changes of policy and personnel, and we still await a positive outcome. Arrangements are now in hand for supplementary promotional displays at Meadowhall Shopping Center subject to final agreements being concluded with NHSBT. Latterly, as a different promotional initiative, we began to consider the possibility of installing a feature in a prominent position in the Northern General Hospital which will pay tribute to local organ donors and invite onlookers to consider donation themselves.

To assure ourselves that our funds are being appropriately managed, we maintained our contract with Hebblethwaites of Sheffield to serve as Independent Examiner of SAKA's accounts, retained Mr Steven Dilks, of RIG Finance, Rotherham, as our Financial Adviser, who attended Board meetings on three occasions to update all trustees, and Brewing Dolphin as our investment managers. The appointed sub-group of Trustees, guided by advice from RIG Finance, have received quarterly reports on the performance of of our £1 million investment portfolio, and have shared this with colleagues as appropriate. Changes in the market suggested that we should review our investment arrangements, and appropriate steps were taken to review a range of fund managers during the following year.

Also at the end of the reporting period, SAKE was pondering a significant change in its investment strategy, as we considered an invitation to support Kidney Beam, a national digital physiotherapy platform designed exclusively for renal patients. Such an investment would require funds to be placed outside the normal market, but offers the possibility of benefitting not only patients in the Sheffield area, but also across the UK.

The Board has continued to receive and consider requests for grant aid from patients in need, with more applications this year, perhaps as a reflection of the increasing cost of living. Such requests are presented by a member of the specialist Renal Social Work team, who have a standing invitation to join committee meetings, and who supply evidence and background information in support of each request, after which trustees decide on the amount of grant aid to be given. Trustees have encountered some difficulties this year when it has proved problematic for social workers to acquire all the relevant information from patients, who may be experiencing chaotic lifestyles while living with their condition. Additionally, and unusually, cases were presented on behalf of asylum seekers, which brought an extra and unfamiliar dimension to our consideration of their requests.

However, during the year, a total of £7,600 was expended on direct grant aid to nineteen individual patients. This included awarding hardship grants for living costs, shopping vouchers, clothing, grants towards holidays, the purchase of furniture, including a dialysis chair, domestic appliances, and holiday dialysis. Additionally, the Board provided £300 to the Social Workers' fund for emergency situations. Also patient-facing, as is customary, SAKE once again sponsored the Sheffield Adult Team at this year's British Transplant Games at a total cost of £6,875.",,
529629,2024,"The general objective of the Trust is the advancement and promotion of education. The directors and trustees can use any means they deem appropriate to achieve the objective. The main methods specified as stipulated in the Memorandum and Articles of Association include those set out below. However, these are not restrictive with the overarching objective being the advancement and promotion of education.","The Trust's investment portfolio generated income of £38,611 in the year (2023 - £35,882). Interest on cash held within the portfolio was £755 for the year (2023 - £477). The portfolio valuation at the year end, including cash, was £1,573,939 compared with £1,501,673 in the previous year. A total of £13,927 (2023 - £14,368) was deducted from the portfolio for the investment manager's fees. During the year grants of £90,072 were made (2023 - £32,650). The level of grants and other charitable expenditure meant that the Trust had net losses in the year amounting to £68,446 (2023 - £14,373) excluding gains and losses on investments.",The Trust invites applications from qualifying individuals and institutions for grants. All applications are reviewed by the Board and a decision on whether to award a grant is made by the Board as a whole. The Board can also award grants for qualifying activities at its own discretion.,
296079,2024,"The purpose of the Trust is to apply income for the benefit of such charitable bodies or for such other charitable purposes as the Trustees shall decide. The income arising from the investment portfolio, together with donations received are used at the discretion of the Trustees to meet the Trust's charitable objectives. The main aims of the Trustees are to make grants to charities of which The King is, or The late Queen was, patron, support ecclesiastical establishments associated with The King and to make contributions in the event of either national or international disasters.","In line with the objectives described above, the Trustees have made grants and donations principally for ecclesiastical and educational purposes, as analyzed in note 1 to the financial statements. Donation Income relating to Queen Mary's Dolls' House has increased from £513,195 in 2023 to £872,74 in 2024. Twelve Coronation chairs were donated by the Pain Purse to the Prim- Purse Charitable Trust for public auction. The proceeds of this public auction were £78,668 which was shared equally between several nominated charities. Donation income of £101,800 received in respect of Her late Majesty's Platinum Jubilee in the year ended 31 March 2023 was donated to both Cathie Kirk Church and West Newton Church towards restoration projects. The policy of the Trustees is to distribute annually substantially all of the income arising in the year, after deduction of expenditure.",The Trustees have the power to invest in such assets as they see fit. The investment objective is to attain a balance between capital and income return and to achieve income growth to enable the Trust to maintain the real value of its annual dnnanons. Performance is in line with benchmarks agreed.,
200351,2024,"The objectives of the charity are to make gifts to charities and to pay, apply or appropriate the trust fund to charitable institutions or for other charitable purposes within the United Kingdom. All details and particulars of such donations are at the discretion of the trustees who make, but need not make, any requirement or condition consistent with the law of charity regarding the use or application of the funds so donated. The Johnnie Johnson trust is a grant making charitable Trust, committed to offering financial assistance to those who provide activities for children and young people up to the age of 25 years, who are disadvantaged and/or less able, living in the UK. Priority is given to sailing and other water sports activities, particularly in the midlands. However, all applications consistent with the Trust's aims receive consideration.","Over the year the investment portfolio increased by £177,049 to £6,112,473 and income decreased by £3,417 to £123,329. Grants in the year amounted to £100,000 spread over 24 different charities with grants ranging from £1,738 to £6,018. The trust's website and reviewed criteria have helped attract more new eligible applicants to the trust, with over 24% of grants being made to first time applicants. The trustees review and discuss criteria at each meeting to ensure the trust is focused and applicants are clear on the outcomes the trust is looking for.","The Johnnie Johnson trust is a grant making charitable Trust, committed to offering financial assistance to those who provide activities for children and young people up to the age of 25 years, who are disadvantaged and/or less able, living in the UK. Priority is given to sailing and other water sports activities, particularly in the midlands. However, all applications consistent with the Trust's aims receive consideration.",
267685,2024,"The charity's objectives are:

relief of poverty

the advancement of education amongst persons who, in the uncontrolled opinion of the Trustees, are of the Jewish faith

the advancement of the Jewish faith

The aim of the charity (both short term and long term) is grant making to meet its primary objectives set out above. The charity makes grants to other charities, utilizing reserves in lean times, and success is measured by the quantum of grants it makes in a year.

The charity strives to be self funding from its investment assets. The charity does not engage in fund raising activities, however welcomes donations from other charities and organizations to fund its activities.","During the year £254,600 (2023: £126,000) was distributed in furtherance of the charity's objectives. The grants have increased based on the increased income available in the year.","This charity was established to support the activities of Jewish religious organisations, especially in the field of education and to provide philanthropic aid to the needy. Grants are made to charitable institutions and organizations which conform to the objects of the charity after the trustees have satisfied themselves as to the bona fides of the recipients. Donations are made to organizations providing a sound religious education in accordance with doctrines and principles of traditional Judaism and to institutions set up to provide aid to the needy, with a view to achieving the objects of the charity.

Applications for grants are made in writing to the charity or in person to the Trustees by voluntary and community organizations as well as by individuals on behalf of impoverished individuals or by those said individuals themselves. All donations above £5,000 require approval of all of the Trustees and after making the necessary checks, proportional to the level of funding involved, donations are granted.",
1025046,2024,"The primary objectives are to apply the capital and income of the fund to or for the benefit of such charitable institutions, societies and objects as the Club shall, in duly constituted meeting, from time to time direct. The charity carries out these objects by raising funds through a variety of activities. These include the Dragon Boat Races, charity walks and lunches. Other funds are derived from donations. Gift Aid is claimed on all eligible donations.","The Dragon Boat Races raised net £96,206. These together with the other contributions and donations enabled the Club to raise a net grand total of £116,061. Distributions were made from the Dragon Boat Races to many local charities of £87,938. The Community Services Committee donated £9,164 to various local charities. Donations were made to Rotary Foundation of £2,036. The International Committee was able to support various charities to total £4,343. Grants of £1,507 were made to other charities. The Youth Service Committee supported youth charities to a total of £4,048. The total giving for the year was £109,036 as compared to £108,103 in the previous year.",,
271610,2024,"The charity aims to provides relief from poverty and financial hardship by assisting individuals who are in need of food, clothing, shelter or medical services and who are unable to afford these from their own means. The charity also supports other welfare institutions that provide such assistance, as well as religious and educational organizations in the UP and abroad.",The trustees are satisfied with the results for the year. There was a 89% increase in income and a 33% increase in granting which gave rise to a surplus for the year.,,
264185,2024,"The Holden Charitable Trust exists to receive and distribute charitable donations to worthy causes primarily within the Jewish community. The charity's main income is generated from investment income and donations under the gift aid scheme, most of this income is distributed to religious, educational and similar charities. The objectives of the trust for the year are to maintain a stable flow of donations going to worthy causes in the Jewish community.",During the year the trust made donations to a wide variety of charities within the Jewish community. The charity believes it has achieved its aims in delivering public benefit by successfully distributing a significant proportion of its incoming reserves to worthy causes. Remaining reserves in bank and deposit accounts are required to be available to go towards future investment purposes.,The trustees have identified a number of Orthodox Jewish charities which profess and teach the principles of traditional Judaism or which carry out activities which advance religion in accordance with the Orthodox Jewish faith. Grants are given on application to the trustees by these or similar charities.,
802142,2024,"The Trust Deed contains broad charitable objects which allow the Trustees, in their discretion, to pay or apply the income and, if agreed, the capital of the Trust Fund to or for the benefit of any charitable bodies, trusts, associations, institutions or organisations, as they see fit.","During the year the charity has been able to continue to make donations and grants totalling £3,196,223 (2023 - £3,011,156). Grants awarded by the John Wire 1989 Charitable Trust reflect the interests of the Settlor's family and the Trustees. In 2024, areas of focus for the charity's grant-making included support for the welfare of marginalized or disadvantaged individuals or communities, initiatives to help young people not in education, employment or training to thrive, and environmental projects, including habitat conservation and restoration, fresh water and marine conservation, and local engagement with nature and the environment. The charity also has a geographic focus to its grant making, with a particular interest in Kent and the Isle of Wight. In 2024, the charity supported charities in Kent direct and through a funding programmed delivered on behalf of the Trust by the Kent Community Foundation. Several charities operating on the Isle of Wight also received grants direct or through a funding programmed delivered by the Hampshire & Isle of Wight Community Foundation on behalf of the Trust.",The Trustees hold meetings four times a year to consider grants and donations. Proposals for all grants are considered by all Trustees. The charity does not run open funding programmed or encourage unsolicited applications. Most potential grant holders are initially identified by the Trustees. Due diligence is then undertaken by a small team on behalf of the Trustees before grants are agreed. Organizations seeking funding are usually required to submit a request explaining how funds would be used and what would be achieved. All requests for funding are managed online.,
801756,2024,"The directors operate a grant giving policy, providing funds for such charitable objects or institutions as the directors think fit. Institutions intending to make an appeal are directed to the website www.billbrowncharity.org where more detailed information concerning particular areas of support, application guidelines, exclusions and grants can be found. The directors aim to make annual equivalent distributions of approximately £475,000, excluding substantial bursary commitments. After taking account of the bursaries and grants regularly made, there are limited funds available for distribution to other charities in accordance with the guidelines set out in the grant giving policy as summarized on the charity's website.","The directors have four commercial properties and details of these are shown in the attached accounts. Improvement works to the properties have been undertaken and the properties are let. At the period end the properties were valued at £8,230,000. The property investment, including the improvement works, have been funded by a loan of which £1 451,973 remains repayable at 30th June 2024 and is secured on three of the commercial properties. Total income received in the period from the charity's investment assets and cash deposits amounts to £533,151 which equates to a yield of 3.4% (based on the market valuation of the assets at the year end). The directors awarded grants totalling £166,250 during the year, in accordance with the charity's grant giving policy set out above.","The directors operate a grant giving policy, providing funds for such charitable objects or institutions as the directors think fit. Institutions intending to make an appeal are directed to the website www.billbrowncharity.org where more detailed information concerning particular areas of support, application guidelines, exclusions and grants can be found.",
1055617,2024,"The Trustees are directed to hold the capital and income of the Trust Fund upon Trust to apply the income and all or such part(s) of the capital at such time(s) and in such manner to or for the benefit, of such exclusively charitable objects and purposes in any part of the world as the Trustees, in their absolute discretion, think fit. The Trustees have expressed the wish to have between £20,000 and £25,000 available for distribution, as aforementioned, in each financial year. In considering applications received for funding, the Trustees attempt to keep a balance between assisting medical research projects and providing help for the relief of suffering.","The donations/grants made during the year ended 31 March 2024 are as documented per the ""Schedule of Donations"" made, on page 7 of the Accounts.",null,
234362,2024,"For the relief of the poor and needy in the UP and elsewhere or for such other charitable purposes, institution, society or object as the club in duly constituted meeting shall from time to time direct. Primarily monies are raised by Christmas street collections, springtime Donkey Derby event, bi-annual music event; supplemented from time to time by other fund-raising events. In keeping with the Charity Commission guidance the main focus of our activities has been to support local groups, organizations and families and donate to overseas work and disaster relief.","As a result of successful fund-raising activities the club has supported local and international causes such as: Rotary Foundation £3,320, Rushmore and Hart Young carers £750, Kids out £850, Christmas Vouchers £1,150, Connect Counseling £500, Parity £660, Phyllis Rockwell hospice £25,725, The Vine £645, SPA (Hants and Surrey borders) £420, Sands Marlborough £420, Step by Step £500",,
256590,2024,Our Founder's wish in establishing the Frost Charitable Trust was to foster research into the prevention of blindness by supporting programmed submitted by senior trainees and by enhancing their horizons by underwriting the costs of educational or research periods of training at home or abroad at recognized centres. He was not in favor of the Trust's financing of the Health Service by underwriting staff salaries which he regarded as the responsibility of the Department of Health.,,All funding was distributed via a Hospital or University.,
251356,2024,"The Friends of West Suffolk Hospital Trustees Committee comprises of 7 Trustees. They are joined, by invitation, by the Trust's Deputy Director of Workforce, Organizational Development and Learning who represents the Trust in an advisory capacity, the Trust's Voluntary Services Manager, and The Friends' Shop Manager.

Under normal circumstances the Trustees meet once every two months to give oversight and guidance to issues and opportunities arising from the charity's financial position, its membership, the staffing and general running of the Friends Shop, and any other matters arising from its inter-relationship with the Trust itself and the Trust's own charity My Wish. Again, under normal circumstances, the Trustees will hold an Annual General Meeting once a year to whom all members are explicitly invited. This invitation accompanies a printed copy of the charity's Annual Report for the year.

Of primary importance to the Trustees is the opportunity to help The West Suffolk N'S Foundation Trust and its associated community healthcare services through grants for equipment, refurbishment of facilities, enhancements to services and items of comfort in cases where The Trust is unable to provide the appropriate funds. When sufficient funds are available, bids for projects are requested (normally once every 12-18 months). Those bids that can be shown to offer clear benefit to a wide spectrum of patients, staff and visitors; value for money; and security/longevity of the investment, are then awarded grants where the charity's available funds permit.","We have had a busy year within The Friends, with the shop increasing its turnover and popularity and the Trustees awarding grants to various departments across the Trust.

Lizzie and her team have continued to serve the patients, visitors and staff with their enthusiasm in the shop on the ground floor, the online shop, and the trolley service which visits the wards.

A new streamlined process for staff to apply for grants to The Friends, implemented last year, proved to be a great success, with applicants shortlisted making presentations to the trustees, which helped in reaching decisions in a timelier fashion. We have been partnering with the trusts communications department in securing publicity within the community and media. Our thanks to Dr Carol Steed, deputy director of Workforce, Organizational Development and Learning, for her support and assistance with both this and the new process for grant applications. A new round of applications will be invited imminently.",,
1001423,2024,"The Robert B Massey Memorial Trust was established by Trust Deed dated 1 August 1990. Its purpose is to provide, in the interests of social welfare and the improvement of the conditions of life for the inhabitants of the Town of Market Leighton in the County of East Yorkshire and its neighbourhood, a public recreation ground and other recreational facilities including a Bowling Green.","The Management Committee has continued to upkeep the recreational facilities provided by the Trust at the Pavilion and Bowling Green, which have been widely used by the public in the Market Leighton area.",,
237048,2025,"The L G Harris Trust was endowed by a gift of shares in L G Harris & Co Ltd from the company founder, Mr L G Harris, in 1964. The trustees have agreed a policy for making grants from the income, and during the year grants of £241,150 were made. The trustees are keen on supporting not only musical performances but also musical education for the young. In this connection grants were given to English Touring Opera, the CBSO, the Three Choirs Festival, Voces8 and the Bromsgrove Musicians Competition. They also supported some local charities including the Primrose Hospice, the Banbury parochial charity, and the Avoncroft Museum. The trustees also contributed to a bursary scheme which enables parents, who otherwise could not afford it, to send their children to a private school in Reading linked to the Society of Friends, which offers a liberal education in attractive surroundings. They also contributed to scholarship schemes at the Royal College of Music and the Royal Birmingham Conservatoire.",,"The trustees have agreed a policy for making grants from the income, and during the year grants of £241,150 were made.",
313278,2024,"The Charity was established by trust deed in 1959 by the late George Dealer for such charitable purposes connected with the advancement of education or the relief of poverty amongst former employees of the Free Group and their families together with other persons formerly employed in commerce and the families of such persons. In assessing applications for charitable and education grants, the trustees bear in mind Mr Drexlers expressed desire to benefit medical research and education. Currently, there are no plans to revise the objectives.","During the year charitable expenditure amounted to £338k (2023: £341k). This comprised grants awarded of £260k (2023: £269k), other professional activities of £5k (2023: £2k) and support costs of £22k (2023: £21k). Of this, £14k (2023: £14k) was granted for the relief of poverty to former employees of the Free Group and their families, while £246k (2023: £255k) was awarded in educational grants.","There was a significant gain on the portfolio, which puts the endowed reserves at £8.7m. The income from the investment portfolio of £279k exceeded the target of £250k this year, and performance was stronger than the prior year. Unrestricted funds have decreased to £36k, and remain below the £50k target set by the trustees, due to continued grant expenditure. The trustees consider that investment income will remain sufficient to support its award of annual grants.",
216754,2024,"The general objects of the Association are to increase the amount, and render more effective the collection, application and administration of the funds raised in the Province of Shropshire for Masonic and Non-Masonic charitable purposes.

To achieve this two funds have been established, called respectively the 'Festival Fund' (formerly 'Central Masonic Charitable Fund' (Central MCF)) and the 'Shropshire Fund' (formerly 'Shropshire Masonic Charitable Fund' (Shropshire MCF)). The funds consist of all donations and annual subscriptions paid to the Association.

The allocation ratio of receipts between the Festival Fund and the Shropshire Fund is approved by the members at the Annual General Meeting of the Association. These Funds are held as Relief Chests by the Masonic Charitable Foundation.

The Funds are applied as follows:

Festival Fund
- Any or more of the Masonic Charitable Institutions managed under the umbrella of the Masonic Charitable Foundation (the MCF); or
- Such Non-Masonic charities as the members of the Association shall from time to time decide by resolution.

Shropshire Fund
- For the Provincial Benefit; and
- Such Non-Masonic charities as the members of the Association shall from time to time decide by resolution.

In addition the Association holds its own funds to support Shropshire based Non-Masonic charities and supporting Shropshire Freemasons and their families in financial need.","The total income received by the Association has increased during the year from £43,915 in 2023 to £120,171 in 2024. This includes legacy income of £31,094 in 2024 (2023 - £98).

We have been able to support local non-Masonic Charities and Shropshire Freemasons and their families in financial need with the sum of £13,900, which was made up of £11,750 of donations and grants to local charities, £500 of regular grants and £1,650 of emergency grants. We have also given support to non-Masonic Charities by making donations from our Shropshire Relief Chest of £14,500.

For the year ended 31 December 2024 the Association made a net deficit of £19,428 (2023 - £23,373) and net assets totalled £283,226.","Application for assistance of the Association may be made through the Master and Officers of any Lodge in the Province entitled to the benefits of membership. All applications are made to the Secretary of the Association, who shall then refer it to the committee.",
283813,2024,"The Foundation's charitable purposes are to promote participation in amateur sport and healthy physical recreation for the benefit of the inhabitants of those cities or counties where London Marathon Events holds events, and in such other areas of the United Kingdom as the Trustees may decide. The Foundation's mission is to inspire, encourage and champion participation and diversity in physical activity. It is ambitious in its commitment to help create a society in which everyone is physically active, contributing to their health and wellbeing. The Foundation's ambition is to be recognized as an impactful funder.","In 2024, the Foundation approved grants totalling £7,036,022 across its funding programmes: £3,067,996 through the Active Spaces Fund, the Foundation's main open fund designed for projects that will improve and activate spaces, places and facilities in London that help the least active children, young people and undeserved groups and communities to lead active and healthy lives. In 2024 the Foundation awarded 51 grants across 23 London boroughs. Since the fund reopened after the Covid-19 pandemic, a total of 31 London boroughs have benefited from activities funded through the Fund.","Grants are made to registered charities, community interest companies, local authorities, and other not-for-profit bodies that demonstrate need, sound governance, and the potential for sustained impact. Applications are assessed against published criteria and reviewed by officers and trustees. All decisions are formally approved and documented by the Grants Committee and/or the Board of Trustees depending in the size of the grant. The Foundation priorities projects that seek to benefit the least active and undeserved groups, offer measurable benefits, long-term sustainability, and inclusive access to physical activity.",
251464,2024,"The formal object of the Charity in 2024 was to further the religious and other charitable works of the Church of England in the parish, being the Ecclesiastical Parish of St Stephen with St James and St John the Baptist, Bristol. This Parish became legally joined with a neighboring Parish, Holy Trinity Hotwells, on 1 November 2022 to become the new single Parish benefice of Holy Trinity and Saint Stephen's, Bristol (also known as Bristol Harbourside Churches).

The main objectives of the Trustees in 2024 were to manage what elect the present Financial situation would mean for the charity, and to act accordingly having sought the advice of their investment advisers to stabilize the investment capital.","Following the substantial refurbishment of St Stephens Church (funded by the Ancient Society of St Stephens Ringers) in 2023, other capital improvement projects have been completed in 2024 including enhancements to the kitchen area and the carpeting and stonework around the Altar. The Charity's primary grant funding to the parish has contributed to the costs of employing part Me Administrators to both Churches within the Parish.

Preparatory work has also been ongoing, and is now at an advanced stage, in reason to the proposed merger of the Charity with two other local charities. It is envisaged that this merger may take elect in the course of 2025.",,
1038785,2024,"The charity's mission is to strengthen community-based and civil society responses to Violence against women and girls (VAWG). We do this by working at the community level in Uganda to enable the provision of a focused, complete range of support to survivors and pioneering campaigns on harmful social practices, particularly bride price. MIFUMI's activities are guided by our Theory of Change which espouses our beliefs about how change happens.

The objectives are to advance education and to relieve need in Miami village, Torero district, eastern Uganda, by the provision of a school, a medical centre, and in such other charitable ways as the trustees may determine, and to advance the education of children and young persons nationally and internationally, in particular on issues of health and domestic violence.","MIAMI carried out community mobilization activities, reaching 248,983 people (153,200 were young people between 10-24 years) with information and knowledge to reject violence and abuse, access services, negotiate quality of care with service providers and provide informed support to peers. MIAMI supported 3964 survivors with various interventions, with 74% of court cases successfully concluded. MIAMI supports three shelters through which a total of 265 women were supported during the year. The helpline received 778 calls and offered legal advice, information, referral and psychosocial support. MIAMI supported nine District local governments to develop and implement gender response plans. The health center saw improvements in antenatal care, postnatal care, family planning, immunization, and reduction in malnutrition. Miami Primary School had 688 pupils and made improvements to infrastructure, community engagement, teacher training, and the reading culture. Miami Secondary School constructed a new girls' dormitory, recruited additional teachers, and improved access to textbooks, safe water, and solar power.",,
246639,2024,,,,
1015244,2024,"The Trust is established to further those purposes both in the United Kingdom and abroad recognized as charitable by English Law. Pursuant to the objects and having regard to the guidance of the Charity Commission relating to Public Benefit, the Trustees made grants to religious and educational organizations for the relief of poverty.","During the year under review £107,000 (2023: £163,700) was distributed in furtherance of the charity's objectives.",,
218213,2024,"The Hornet Consolidated Eleemosynary Charities aims to provide charitable donations and support to individuals in need, as well as running a shop that provides food parcels to the local community.","During the year, the charity was able to provide £8,041.98 in charitable donations and 3,365 food parcels through the Hornet shop. The charity also saw a surplus of £22,285.95 on its charitable activities.",,
801622,2024,The trustees have absolute discretion to pay the income or capital of the Trust Fund to charities to be used solely for charitable purposes. They have complied with the duty in section 17 of the Charities Act 2011 to have due regard to the public benefit guidance published by the Charity Commission.,The trustees continue to consider applications for donations from numerous charities and make donations to selected charities as shown in the annexed financial statements.,,
803168,2023,"The Donas Trust is a family trust which exists for the charitable donation of money donated primarily by members of the Norman family. Its trustees are Mrs JA Norman, Mr C Norman, Mrs V Norman and Mr T Norman. During this year, money has been donated to a number of charities and individuals engaged in work for the propagation of the Christian gospel and also in the relief of poverty and healthcare.",,The charity is fully committed to the support of its existing causes and is therefore unable to take on commitments to new causes.,
219289,2025,The sole objective and activity is the giving of grants.,"The income of the 'Trust during the year amounted to £147,545 (2024: £140,778). During the year the Trustees awarded grants to institutions and individuals amounting to £101,025 (2024: £104,900). A full breakdown can be found on pages 13 to 15. The net assets the Trust amounted to £5,114,780 (2024: £5,378,249) at the year end.",None the Trustees received any remuneration for their services or reimbursement of expenses.,
216614,2024,"The Trustee has the power to apply the funds of the Charitable Trust for the benefit of such charitable institutions or charitable objects as it, in its absolute discretion, thinks fit. Over the life of the Trust this has evolved into a programmed of providing Bursaries for student blacksmiths, the support of charities related to the City of London (the 'standing' list - see page 8); charitable beneficiaries proposed by the Prime Warden and other charitable causes.","Bursaries are given to students training to become a blacksmith and they are encouraged to approach the Trust for help after training, if they feel the need. The Trustee believes that public benefit is secured through the grant and bursary procedures that are operated and assist, directly or indirectly, a wide range of people.","In assessing applicants for Bursaries the report from the tutor, the student's comments and photographs of their work are taken into consideration. An interview with the applicant may be requested. All charitable appeals are considered by the members of the Charity Committee. If perceived to be worthy, and funds are available they may decide to offer support particularly if there is an underlying element relevant to the art and mystery of jacksmithing.",
254532,2025,The object of the Charity is to provide funds to or for the benefit of or otherwise in support of such purposes and objects as shall be exclusively charitable with powers to apply the same or any part or parts thereof in such shares and proportions for the said objects and purposes as the Trustees shall in their sole uncontrolled discretion think fit. In accordance with the original wishes of the late Hard Prayed Shastra the trustees assist in education generally but with preference to support spiritual education according to the Universal Principles that he taught.,"The Trustees are meeting their objective of achieving a balanced return between the need to generate income and long term capital growth. The gross income during the year was sufficient to cover the charitable donations of the Trustees. The Trust is privileged to be guardian of a significant amount of unique archival material comprising personal items belonging to and papers by Dr H P Shastri, Miss M Warehouse and Dr A M Halliday. This is used as a resource to further the charitable objectives of the Trust. Suitable space is needed for storage and research into this archival material. This research is carried out voluntarily by the Trustees and other interested individuals. About a quarter of the expenditure of the year under review was directed towards renting a suitable space for these activities. This space is also used to fulfil the charitable purposes of the Trust to support spiritual education for genuinely interested parties, using the archive material as a resource where appropriate.",The Trustees also use the rented accommodation for their formal Trustee Meetings and meetings with individuals or representatives of bodies applying for financial support from the Trust. The Trustees maintain contact between meetings when necessary to discuss charity matters by e-mail and conference calls.,
229268,2024,"The Trustees' objects are to provide almshouses for the benefit of alms people. The Trustees' aims are to maintain the Charity's almshouses to a high standard and to increase the stock of almshouses when resources permit. To be selected as almshouse people, they are required under the terms of the Scheme to have been residing in the area of benefit and to be poor persons or (in the case of not less than eight almshouses) poor aged persons. The area of benefit is defined within the Scheme as the District of South Holland in the County of Lincolnshire, with a preference for the area comprising the Urban District Council of Scalding as constituted on 13 August 1971 and the Parishes of Cowbit, Keeping St. Nicholas, Pinchbeck and Weston, in the County of Lincolnshire.","During the year, the Trustees proceeded with the refurbishment of the remaining kitchens and bathrooms at the Bowditch Road almshouses. During the summer all almshouses were inspected by the Trustees and reports prepared on outstanding issues. During the year, four almshouse vacancies occurred, and new beneficiaries were appointed to fill the vacancies. The Trustees decision to upgrade nine of the properties in Bowditch Road and convert another to provide disabled access and facilities, has considerably improved some of the charity's oldest properties.",,
