Funder Name,Charity Number,Change Type,Date,Description,Additional Details
Esmee Fairbairn Foundation,200051,One to Watch,03/09/2025,The Foundation are creating a bespoke application portal ,
Moondance Foundation,1139224,Paused,03/09/2025,The Foundation is temporarily closed to applications. Please keep an eye on this website for further information. ,
Banister Charitable Trust ,1102320,Spending Out,03/09/2025,"The Trustees of The Banister Charitable Trust are no longer accepting applications, as all available funds have now been committed to other projects. Once those projects are funded the trust will be closed
",
Abbvie,,Did Not Open,03/09/2025,"Due to open on 1st September 2025, the window will now open 3rd October 2025",
The Albert Gubay Charitable Foundation,1193970,Other,02/09/2025,New Grants Map includes over 700 project entries and displays the geographical spread of the Foundation's grant making. ,
The Albert Gubay Charitable Foundation,1193970,Paused,02/09/2025,"Taking no further applications until after the 1st of October 2025
 ","The June 2025  funding round awarded £6,297,513 to over 50 charities, 

The Albert Gubay Charitable Foundation will soon reach a milestone of £90 million given away in grants."
Arts Council England,1036733,Reopened,02/09/2025," Supporting Grassroots Music (SGM)

A few important changes are worth noting 

SGM is now separate from National Lottery Project Grants (NLPG).

No more different forms for under/over £30k.

 Monthly deadlines with a 6-week turnaround (and set decision dates).

Two Word documents submitted by email – not Grantium
• Form A: about your project, artists, audiences and planning.
• Form B: basic info (org details, contact, monitoring).

 Word documents means they are simpler
• Word counts, not character counts
• No more copy-paste for timelines, budgets and tables
• Most of tick boxes are gone!

Guidance has grown from 18 pages to 52. But: everything is in one place, clearer, more detail and specific to this fund.",
Hintze Family Charitable Foundation,1101842,Paused,02/09/2025,"The foundation is currently closed to new applications until at least mid-2026, as it focuses on existing commitments

The Trustees have made the very difficult decision to heavily limit new causes the Foundation will support for the foreseeable future. They are not expecting to review this policy for at least 18 months which will allow for the Foundation to support its current commitments.
",
W F Southall Trust,218371,Paused,02/09/2025,"The Trust closed to overseas projects in 2023, with the hope that this would give the Trust time to review and improve governance, systems and processes. 

However, applications for UK projects rose sharply, increasing by 25% between 2023 and 2024. This growth continued at an even faster pace in 2025, with applications increasing by a further 75% since 2024. 

To address this, the Southall Trust will close to all applications from 1st September to 1st November 2025. 

Looking ahead, they are aiming to improve processes by:

-Seeking to recruit additional trustees.
-Changing our application process, so that our employed (part‑time) Secretary is more actively involved in the decision-making.
-Providing clearer guidance about the types of projects we seek to support.
-Continuing to act on applicant feedback, including improvements to our website and online application system.

They also ask prospective applicants to carefully review the Trust’s eligibility criteria before applying as ineligible applications are at their highest level in seven years. ",
The Sutton Place Foundation General Charitable Trust,1136264,Spending Out,02/09/2025,"The charity is in the process of winding down and is no longer accepting applications for funding.
",
Will Charitable Trust ,801682,Paused,02/09/2025,The Trust temporarily closed for applications at the end of 2024 to facilitate a strategic review and potential changes to its grants programmes with the view to complete the review in time to reopen to applications in July 2025.,
The Albert Gubay Charitable Foundation,1193970,Paused,02/09/2025,"Due to the high level of demand, the Foundation closed their website for eligibility tests at the end of the week commencing 14th July 2025. 
",The Trustees won’t know until their September grant meeting has been held if there will be any future rounds. It depends on whether they have any funds left to distribute this financial year. If the Foundation does not re-open this year then it will most likely open again for a week or two for eligibility tests in April next year for a grant meeting in June 2026. 
The Panram Trust,1127770,Closed,18/08/2025,"I am sorry to inform you that after over 20 years of supporting the work of charities in the UK and across the world, The Panram Trust has been closed and all of the funds allocated.  I am sure that you will appreciate it has not been an easy decision, but the Trustees believe it is the right time to close the family trust.",
Betsy Foundation,,Closed,18/08/2025,,
7 Stars Foundation,1168240,Paused,18/08/2025,The Foundation is currently closed and not expected to reopen before September 2024.,
J P Getty Jnr Trust,292360,Closing,18/08/2025,The Trust does not accept unsolicited applications. The trustees continue to work towards an orderly closure of the Trust.  It is the policy of the trustees to seek out and support well-managed charities.Potential candidates for grants are identified by trustees. Proposals are considered at meetings of the trustees. Trustees meet twice a year.,
Af Jochnick Foundation,,Paused,18/08/2025,The Foundation are not currently accepting applications,
Ulster Garden Villages Limited,NIC101248,Closed,18/08/2025,"UPDATE 25/03/24 - Applications for grants to Ulster Garden Villages are currently closed.

In light of our substantial charitable forward commitments, coupled with the unknown financial implication of the recent judgement in relation to our investment in apartments at Victoria Square, Chichester Street, Belfast, the Committee of Management has agreed to pause our charitable giving. Ulster Garden Villages will continue to work with those charities with grant offers already in place subject to their project commencement, to continue to  ï¿½make a positive difference' in the Community. 

If you would like to be made aware of when applications are open again, please email admin@ulstergardenvillages.co.uk.",
Casa Stella,1129130,Closing,18/08/2025,Trust (small trust) recently advised they are in the process of winding up,
Betsy Foundation,,Paused,18/08/2025,The Foundation suspended it's grant-mking to new applications.Existing applications will be reviewed.,"Note that Betsy Foundation is a family run initiative, not a regsietered charity or company, giving grants to small and medium sized charities which make the world a better place for those in need."
Casa Stella,1129130,Closing,18/08/2025,"Grantmaker Casa Stella has transferred its  £3.22m-worth of assets to anti-poverty charity Turn2us as it prepares to close, - See more at: https://www.civilsociety.co.uk/news/grantmaker-to-close-and-transfers-3m-endowment-to-anti-poverty-charity.html?utm_source=New+Main+List+From+Live+CIVIL+Site&utm_campaign=ea899fb8f7-EMAIL_CAMPAIGN_2024_06_11_11_45&utm_medium=email&utm_term=0_-ea899fb8f7-%5BLIST_EMAIL_ID%5D#sthash.Iuv6PXBV.dpuf",
The Busenhart - Morgan - Evans Foundation,1062453,Removed,18/08/2025,,
The Dove Trust,287401,Removed,18/08/2025,"06 June 2024: Funds transferred to 1196369 FOUNDATION HOME (The Foundation acts as a donor advised fund, and a corporate trustee of almshouse charities.During this financial year, the Charity has had no financial transactions but has identified a
number of potential donors and almshouse charities with whom it hopes to work in the future.)",
Artemis Charitable Foundation,,Paused,18/08/2025,The Foundation are in the process of reviewing the applications received during 2023 funding window. They suggest to check their website again in June 2024 for details of plans for applications in 2024.,
Dm Thomas Foundation For Young People,1084220,Removed,18/08/2025,"Found on Charity Excellence database, added there June 2021",Was under the umbrella of the DM Thomas Foudation which closed about 3 years ago https://lesmillsfund.wordpress.com
Valencia Communities Fund,1096538,Closing,18/08/2025,"As a result of a strategic review by the landfill operator Valencia Waste Management Ltd, funding through the Landfill Communities Fund will no longer be available from Valencia Communities Fund (VCF). https://www.valenciacommunitiesfund.co.uk/news/closure-valencia-communities-fund",
The Rind Foundation,276311,One to Watch,18/08/2025,Bereavement,
James & Patricia Hamilton Charitable Trust,SC022409,Closing,18/08/2025,"Main benefactor passed away, so no more funds available - his estate was left to Trust and Trustees have made final awards based on his statement of wishes. In process of winding up and removal from OSCR",
Fonthill Foundation,325071,Paused,18/08/2025,The Foundation is currently closed to new applications.,
St James's Place Charitable Foundation,1144606,One to Watch,18/08/2025,"New Head of CF, new strategy pending",
Starkie Bence Charitable Trust,282541,Closing,18/08/2025,Final donations distributed to previous recipients on death of Trustee Mrs R,
7 Stars Foundation,1168240,Paused,18/08/2025,The Foundation paused their funding to enable previously submitted applications to be reviewed appropriately.,
Little Lives Uk,1171884,Paused,18/08/2025,The Trust are currently unable to accept new applications due to demand.,Website accessed 22/05/2024
John Laing Charitable Trust,236852,Not open to unsolicited applications,18/08/2025,,
Gannett Foundation,,Paused,18/08/2025,The Foundation has no funds for this year but hope to open again next year,
The Daniell Trust,1176166,Not open to unsolicited applications,18/08/2025,"The Daniell Trust is in the process of winding down grant-giving activity. The trustees and their professional advisors will continue to work directly with selected beneficiaries until this process has been completed, at which point the charity will be dissolved. There will be no further opportunities to apply for grant support.",
The Mabel Harper Charitable Trust,1097274,Closed,18/08/2025,Removed from Charities Commission,
The Lake House Charitable Foundation,1126293,Paused,18/08/2025,The Foundation are not taking any new applications.,"We have already received more applications than we are able to provide funding for during the last six months. We have had to take the very hard decision to not accept any more applications for funding, we hope that we can begin to consider further applications again later this year. Thank you for your understanding and we wish you all the best with your fundraising efforts."
The Row Fogo Charitable Trust ,SC009685,Closed,18/08/2025,Closed and removed from OSCR on 26 Oct 2023. 2023 expenditure of  ï¿½5.3m,
The Ryvoan Trust,SC040707,Paused,18/08/2025,The Trust are currently not accepting funding applications,
The Field Family Charitable Trust,259569,Flight risk for closing early,18/08/2025,"The Field Family Charitable Trust notes: ""We reserve the right to close the application window early in the event that we receive a high volume of applications.""",
The Dr Michael And Anna Brynberg Charitable Foundation,1129341,Closing,18/08/2025,at apr24 winding down and all funds allocated,
The Linder Foundation,267509,Paused,18/08/2025,,"The Linder Foundation grant round is now closed. Trustees will inform successful applicants by 31st December 2023 and grants will be paid by 31st March 2024. Please note that the Linder Foundation will not be making direct grants to Hospices or to Medical Research in 2023-2024, as partnership arrangements are in place. The next grant round will be 2024-2025 which will open in August 2024."
Jac Trust,1189523,Closed early/Did not open new window,18/08/2025,"Next Call for Applications will be in 2025
We are a small funder awarding just 6 to 8 grants each year. We received 212 eligible expressions of interest in our 2024 Spring Call for Applications. Given the large number of strong applications received we will not be having a second Call for Applications in 2024.",
The Doris Pacey Charitable Foundation,1101724,Closing,18/08/2025,at apr24 winding down and all funds allocated,
Educational Opportunity Foundation,314286,Re-opened,18/08/2025,We will reopen for new applications from 1 September 2025 for 2026 Grant Committee meetings.,"Application Deadlines

 

Stage 1 application deadlines for international projects:

5 November 2025 (Grants Committee meeting 21 January 2026)

13 May 2026 (Grants Committee meeting 15 July 2026)

13 July 2026 (Grants Committee meeting 21 October 2026)

 

Stage 1 application deadlines for UK projects:

14 January 2026 (Grants Committee meeting 15 April 2026)

*Although we are not accepting applications currently, the relevant forms are linked here so you can plan for future applications when we reopen."
Ukh Foundation,1160507,One to Watch,18/08/2025,,
The Kathleen Laurence Trust,296461,Not open to unsolicited applications,18/08/2025,,
The John Coates Charitable Trust,262057,Not open to unsolicited applications,18/08/2025,The Trustees have recently adopted a new approach whereby they choose one or more themes to focus on for a period of two years and then identify and shortlist certain charities working within these areas. The shortlisted charities are then invited to make a formal application for funding via the website. The website is closed to applications from any other charities.,
The Jane Goodman Charitable Trust,1190940,Closing,18/08/2025,"Closing shortly, has spent all funds",
Ernest Hecht Charitable Foundation,1095850,Closed,18/08/2025,The Ernest Hecht Charitable Foundation's applications process is closed and will remain closed until further notice.,
The Asda Foundation,1124268,Re-Opened,18/08/2025,,
Comic Relief,326568,Re-Opens for Applications (England),18/08/2025,"
Grassroots, community-led organisations in England can apply for grants of up to  £5,000 through the Comic Relief Community Fund to help support the delivery of services and activities that benefit local communities.

Funding is available to organisations with an income of less than  £250,000 for applications under one the below areas:

Tackling immediate impacts of hardship - Organisations that directly address the immediate impacts of poverty, including providing food, warmth, shelter and financial advice such as foodbanks, community hubs, homeless shelters or welfare advice agencies.

Building resilience to poverty and hardship - Organisations that deliver activities to empower people to take positive steps out of poverty in the longer term. Examples include skills training, job search, volunteering, mental resilience and financial confidence skills.

Working to support equity and inclusion - Organisations that champion social justice, diversity and inclusion. This could involve service or projects to tackle inequalities which can lead to poverty and exclusion including gender, sexuality, age, race, language or ability.

Working to support climate justice - Supporting activities that improve energy efficiency, environmental education and resilience-building within communities most vulnerable to the effects of climate change, such communities at risk of flooding or urban heat islands and those more vulnerable to extreme weather events, such as older people, isolated communities or people with disabilities. 

Funding can be used on core organisation costs, direct project related costs or a combination of both 

Comic Relief expect to award around 140 grants.

The fund is being managed by the environmental charity Groundwork.

The closing date for applications is 5pm on the 8th November 2024.

https://lnkd.in/eJX8xpmi
 
https://lnkd.in/eMSwgNur",
Thomas Roberts Trust,1067235,Removed,18/08/2025,"Previously made grants for medical research charities, removed from CC on 15 January 2024.",
Chrysalis Trust,1133525,Did not open new window,18/08/2025,"Due to unforeseen circumstances, the Chrysalis Trust closed their applications until further notice. The next deadline - May 15th 2024 - has been cancelled. ",
Hollyhock Charitable Foundation,1186232,One to watch,18/08/2025,"Grant applications from new recipients will only be considered in special circumstances

 ï¿½","These grants will in particular, but not exclusively, be used to:

(a) prevent or relieve poverty worldwide for individuals in need;

(b) advance the health and wellbeing of the general public (including preventing or relieving sickness, disease or suffering, as well as the promotion of good health);

(c) support programmes which promote and advance the education of the general public; and

(d) promote and support Christianity for the benefit of the general public.

 

 ï¿½"
The Kay Kendall Leukaemia Fund,290772,Closed,18/08/2025,has now completed its active grantmaking and will no longer accept applications,
The Danson Foundation,1121928,Closed,18/08/2025,"Unfortunately, we have allocated all of our funding and are unable to fund any further grants at this time.",
Nationwide Foundation,1065552,Not open to unsolicited applications,18/08/2025,"The current phase of their strategy means that their funding will stay within existing projects; be given to specific extensions of their learnings; or will be dedicated to building a deeper understanding of the housing system.

Unfortunately, this means that we are currently unable to accept unsolicited applications for funding. ",
Rank Foundation,276976,Paused,18/08/2025,The Foundation will review their decision at the end of the current strategy period in late 2025.,
Andrew Lloyd Webber Foundation,1015648,Paused,18/08/2025,,
Card Factory Foundation,1180081,Closed,18/08/2025,This Fund is closed for the foreseeable future.,
Card Factory Foundation,1180081,Paused,18/08/2025,The Family Fund is closed for the foreseeable future. The Community Grant Fund is currently closed but will reopen in the near future.,
Sylvia Waddilove Foundation Uk,1118097,Flight risk for closing early,18/08/2025,"The Sylvia Waddilove Foundation UK states: ""If a high volume of applications is received, the Foundation reserves the right to close the application window early. We therefore recommend applying early to avoid disappointm",
The Ragdoll Foundation,1078998,Closed,18/08/2025,"All of the Ragdoll Foundation grants programmes have now closed, and we will not be offering any new funding opportunities. We thank everyone who participated in or followed our work over the past years.",
George Bairstow Charitable Trust,1155769,Closed/Closing,18/08/2025,"The GBCT is now closed.

The GBCT was created in memory of George Bairstow, who lived his life to help and support others but was tragically killed in a car accident in the early hours of 6 November 2013, on his return from a volunteer shift with St John Ambulance.

We have been overwhelmed by the continued support of the GBCT since we announced our intention to close the Trust and award legacy grants to a number of long-term projects through Criminon, Bolton Lads & Girls Club, Great Western Air Ambulance, Rise 61 and St John Ambulance. We are currently adding to our support of a number of the projects as we distribute our remaining funds, furthering George's legacy for many more years through first aid, skills and volunteering. Further details will be shared soon in our final newsletter, in the meantime we are announcing that the Trust is no longer accepting new donations as we close down the GBCT's activities  ï¿½ thank you for all of your support",
Charles Hayward Foundation,1078969,Closed,18/08/2025,PROGRAMME CURRENTLY CLOSED TO NEW APPLICATIONS,
The Balcombe Charitable Trust,267172,Not open to unsolicited applications,18/08/2025,"Having completed their annual strategic review, the trustees have decided
that their management resources will continue to be best deployed
in working more closely with our existing partners in the UK and overseas

Not currently inviting new proposals for funding.",
Sir Halley Stewart Trust,208491,Flight risk for closing early,18/08/2025,"Sir Halley Stewart Trust mentions that their meetings can be ""closed to new application submissions at the discretion of the Trust, and without prior warning, once the meeting capacity is reached.""",
Lloyds Bank Foundation For England And Wales,327114,One to Watch,18/08/2025,New Strategy for 2026 ,
Oliver Ford Foundation,1026551,Closing,18/08/2025," �We are considering winding the OFT up this year and so it would probably be appropriate to remove it from your list of potential donors.'

 ",
The Consuelo And Anthony Brooke Charitable Trust,1150569,Fully Committed,18/08/2025,"Our small charity is fully committed for at least the next three years and, as a result, we have no capacity to make any further commitments or donations at present.",
The Bromley Trust,801875,Paused,18/08/2025,The Trust remains closed to new applicants until July 2024.,
Ea Foundation,1194169,Paused,18/08/2025,"Due to the volume of proposals the Foundtion received in their last funding round, their next call for proposals will be by invitation only. Some organisations from their last round have been identified for the  �pipeline' list and will be contacted directly and invited to apply.  Please do not submit an application unless invited, as your proposal will not be considered. They intend to launch another call in September 2024, details of which will be confirmed at a later date. For more information on future opportunities for funding, please sign up to their newsletter or follow them on LinkedIn.",
G M Morrison Charitable Trust,261380,Not open to unsolicited applications,18/08/2025,"Beneficiaries of grants are normally selected on the basis of the personal knowledge and recommendation of a trustee. The trustees have decided that for the present, new applications for grants will only be considered in the most exceptional circumstances, any spare income will be allocated to increasing the grants made to charities currently receiving support. In the future this policy will of course be subject to periodic review. ",
The Worshipful Company of Blacksmiths Charitable Trust,216614,Paused,18/08/2025,,
Welsh Government's Community Facilities Grant Programme,,Paused,18/08/2025,The Community Facilities Programme is currently paused to new applications.,
Qbe Foundation,,Restructure,18/08/2025,Re-shaped their giving and are no longer running an open applications process.,
The Welland Trust,1181775,Paused,18/08/2025,The Trust are not currently accepting new grant applications.,The Welland Trust focus their efforts on the sponsorship and support of projects and initiatives that benefit adults who have experienced care.
The Leathersellers' Foundation,278072,Restructured,18/08/2025,,
The Edith Lilian Harrison 2000 Foundation,1085651,Spending out,18/08/2025,,Not removed from register yet but annual return & accouns now overdue by nearly 3 months (as at 30th April 2024)
Educational Opportunity Foundation,314286,Paused,18/08/2025,The Foundation have paused until Autumn 2025 due to number of applications,
Card Factory Foundation,1180081,Paused,18/08/2025,This Fund is currently closed but will reopen in the near future.,
Artemis Charitable Foundation,,Paused (Update),18/08/2025,Currently closed to new applications as they continue to support our current charity partners.,
The Elizabeth Jane Foundation,1000258,Spending Out,18/08/2025,Asssume spending out due to information- or lack thereof- on Charity Commission.,Appears to be being wound down from a dramatic spend out around 2020-2022. Recent annual reports - or lack of them - show the charity's income/expenditure now too low for public reports
The Matrix Trust,1081852,Paused,18/08/2025,The fund was placed on hold while they support a large number of organisations. Applications cyle now in place,
Lance Coates Charitable Trust,261521,Spending out,18/08/2025,,
The Wharfedale Foundation,228031,Spending out,18/08/2025,Spending out by 2026 by offering core grants to support the sustainability of smaller charities in Yorkshire and Humber,"""With the unprecedented recent effects on society, through the pandemic and current cost of living crisis, there is a stark increase in the dependence being placed upon civil society as a source of intervention. With the acknowledgement that there is much immediate need for financial support the Trustees have decided to act now by concentrating on the spending of the Trust's remaining resources within a specific timeframe."" (https://wharfedalefoundation.org.uk/about/, accessed 29/04/24)"
Healy Family Foundation Uk Ltd,1205662,Paused,18/08/2025,Not accepting proposals,
Ann Jane Green's Trust ,SC009410,Paused,18/08/2025,Closed to new funding applications for the foreseeable future,
10 % For The Ocean,1186488,Paused,18/08/2025,10% for the Ocean will be paused its planned grantmaking activities for Q4 2024 until further notice. ,"While this temporary pause is necessary, please know that we remain deeply committed to our mission of supporting ocean conservation and the amazing work of our partners.
We encourage you to stay connected with us via our social media channels to receive updates on when our grantmaking activities will resume. Your continued dedication and involvement are invaluable, and we look forward to sharing more opportunities to work together in the near future.
Thank you for your understanding and ongoing support.
Warm regards,"
The Toy Trust,1001634,Paused,18/08/2025,"If you are a charity and are intending to apply for funding, please note that applications are currently closed due to overwhelming requests for funding.
Please return to this page in January 2025 to check on applications being re opened'",
Polden Puckham Charitable Foundation,1003024,Spending out,18/08/2025,Spending out and no longer open to new grantees.,"Similar to Lankelly Chase, recognising role in perpetuating power imbalances and response to urgency of climate change. ""This decision was taken in large part due to the sense of urgency we felt, in recognition of the imminent dangers of the climate crisis. We also recognise the Foundation's complicity in the collective harms done by the many forms of capitalism."""
The Childwick Trust,1150413,Restructuring,18/08/2025,The Trust now requires a two year gap between all successful applications.,
The Holbeck Charitable Trust,1146205,Restructuring,18/08/2025,"The trust is closed to unsolicited applications; only invited organisations may apply.
","Website states ""The Trust is now closed to unsolicited applications so it is no longer possible to submit unsolicited applications either online or through the mail. At their discretion, the trustees will select and invite applications for funding from organisations with a past or present funding relationship with the Trust and also some new organisations selected by the trustees. Accordingly, please do not contact the trustees or the administrators to request if your organisation can submit an application."""
Ovingdean Hall Foundation,1052478,Paused,18/08/2025,Trustees' decided to pause grant making for new applications. This is while they reflect on current commitments in the light of depleting reserves.,
The Busenhart - Morgan - Evans Foundation,1062453,Spending out,18/08/2025,Accounts from March 2022 state foundation is winding down,Charity removed from CC register (as at 30th April 2024)
The Constance Travis Charitable Trust,294540,Restructuring,18/08/2025,"Prospective new applicants should be made aware that, following a strategic review, the trustees have decided to make donations to fewer, larger national and international charities and to considerably reduce the number of charities the Trust has previously supported.The trustees regret that this means that they are unable to consider new unsolicited applications for the foreseeable future.",
Igen Trust,1126504,Spending Out,18/08/2025,The Trust is spending out in the next 5 years ,"The Charity's objects are:
1. the relief of unemployment for the benefit of the public in such ways as may be thought fit, including education,
training and development; information, advice and guidance and practical assistance to find employment; and
2. the advancement of education in particular (but not exclusively) through assisting the public in accessing and
understanding post compulsory education.
"
Goodnews Evangelical Mission,1164614,Restructuring,18/08/2025,"Previously open to new applicants, now funding applications can only be received from those charitable organisations that have already submitted funding applications in the past.",
The Sirona Foundation,1154787,Paused,18/08/2025,The Foundation are currently not accepting applications for our grants until further notice.  No update as of July 2025,
Euro Quality Foundation,1119242,Paused,18/08/2025,"Not currently accepting any new applications for funding. No indication of when they might consider new projects again. 
",
Persula Foundation,1194819,Paused,18/08/2025,"The Foundation are not taking on any new charities due to our current ongoing commitments and funding of several of our own projects for the coming year
",
The Tallulah Lewis Foundation Limited,1190986,Closed,01/08/2025,Closed to grant-making,
The Zochonis Charitable Trust,274769,Restructuring,01/08/2025,"The Trust receives a large number of appeals and sadly demand outstrips available funds. Unfortunately, the Trust is not in a position to take on new charities",
King Charles Iii Charitable Fund,1127255,Re-Opened,01/08/2025,Environment and Countryside Projects (UK) window is now open and closes at noon on the 20th August.,
Arts Council England,1036733,Paused,01/08/2025,"ACE continue to face technical challenges with their grants platform, Grantium and have taken the decision to temporarily pause applications for National Lottery Project Grants (NLPG). They aim to restore the programme as quickly as possible and no later than the middle of September.",
Postcode Local Trust ,SC045504 ,Restructured,01/08/2025,"The Trust has announced that their funding guide has been updated to include new criteria for Round 3 of 2025, seeing Postcode Local Trust adopt a multi-year approach to the funding offered. Full details of  criteria and funding offer can be found on their  website, but these changes include:

Adopting a multi-year approach to our flexible grants, offering 3 years of funding.
An increase to the overall amount an organisation can apply for. Organisations can now apply for up to  ï¿½50,000 across a 3 year period.
New partnership programmes to support Constituted Voluntary Organisations, Companies Limited by Guarantee, Registered Charities and CICs with an annual income of below  ï¿½10,000, Sports groups, Environmental Groups
.",
Green Britain Foundation,1148783,Closed,01/08/2025,"The Trustees of the
Green Britain Foundation, have had to make the difficult decision not to issue any more grants
and to instead focus our efforts on our own land stewardship, ocean protection and education
programs.",
The Vinehill Trust,1185978,Paused,01/08/2025,"The applications process for health grants is on pause whilst the Trust revise their  health funding guidelines. The new guidelines will be posted on the website in due course, at which point they will reopen for applications.",
Lancaster Foundation,1066850,Paused,01/07/2025,The Foundation are not currently considering funding any further projects in Africa.,
United St Saviour's Charity,1103731,Re-Opened ?,01/07/2025,Peter Minet Trust and United St Saviour's Charity have boosted the 2025/26 Southwark Funding Differetly pot,
Seven Friends Foundation,1199444,Paused,01/07/2025,Not updated as of July 2025.,
Mrs L D Rope Third Charitable Settlement ,290533,Restructuring,01/07/2025,The Trust are not able to help any new overseas projects.  Overseas grants are now channelled through carefully selected UK charities which the Charity has supported for many years.,
The Toy Trust,1001634,Paused,01/07/2025,Applications are currently closed due to overwhelming requests for funding.,
Crh Trust ,SC042635,Restructuring,01/07/2025,"The trustees are only considering applications from charities to whom they have developed a relationship. The objects of the charity will be achieved through the giving of grants to charities, predominantly determined by the research done by CRH Trust themselves.",
Stone King Foundation,1129050,Restructuring,01/07/2025,The foundation is currently revising its strategy.,
The Albert Gubay Charitable Foundation,1193970,Re-Opened,01/07/2025,The Albert Gubay Charitable Foundation's General Fund is currently open to applications until Friday 18th July,"Additional information from an email to the Foundation 

Due to the high level of demand already, we will close the website for eligibility tests at the end of this week, and for those who pass the eligibility test, they will need to submit a full application by the end of the month.

They won't know until their September grant meeting has been held if there will be any future rounds. It depends on whether they have any funds left to distribute this financial year. If we don't then it will most likely open again for a week or two for eligibility tests in April next year for a grant meeting in June 2026. 


Additional feedback from a fundraiser who submitted an EOI ' your organisation's free reserves do not meet our minimum criteria of 3 months' annual expenditure, you are not eligible to apply to us for funding'"
Robert Luff Foundation Limited,273810,Restructuring,01/07/2025,"The Foundation has stopped accepting grant applications entirely and now only provides funding through Rosetrees, a private charity/medical research research funder.",
The National Lottery Community Fund,,Restructuring,01/07/2025,"Due to the high volumes of applications to England wide Reaching Communities, the Lottery aren't currently offering feedback conversations unless there is a specific communication need.


They have asked that guidance is reviewed on their website if you are considering reapplying. Reapplications for the same project are likely to be unsuccessful,  please note that we will only be progressing a small number of projects with a national focus through Reaching Communities, as new focused opportunities for partnership projects have and will continue to be announced with our new strategic framework direction as launched last year.",
The Hilden Charitable Fund,232591,Paused,01/07/2025,"The charity are now closed for applications to the overseas programme and all funds have been awarded
The Malawi funding programme is now closed and they will consider applications from Tanzania in early 2026; and then from Uganda in 2027. Please check back onthe website in late 2025/early 2026 for information on the Tanzania funding programme.",
The Helen Hamlyn Trust,1084839,Restructuring,01/07/2025,Following a strategic review of the Trust's grant-making in March 2025 the Trustees made the difficult decision to permanently close the small grants scheme from 1 April 2025. This is so the Trust can focus its financial and other resources on supporting and developing existing projects with its long-term partner organisations. The Trust has no open application grants scheme and does not accept applications,
,,Spending out,01/07/2025,"The Trust reported 0 expenditure on their 2024/2025 accounts, submitted July 2025.","Makes grants to mainly locally based charities (Dorchester Dorset), together with Christian Aid."
Sir Halley Stewart Trust,208491,Closing Early,01/07/2025,Due to high demand the round is now closed to new applications.,
Pilkington Charities Fund,225911,Restructuring,01/07/2025,The Fund has transferred all its  ï¿½25m-worth of assets to the Community Foundation for Lancashire and Merseyside (CFLM).,The asset transfer is the largest in the history of the UK Community Foundations network.
The Mary Kinross Charitable Trust,212206,Not Open to Unsolicited Applications,01/07/2025,The Trust are not currently accept unsolicited enquiries or applications and are unable to respond to direct requests for funding at this time.,"Please note that we do not currently accept unsolicited enquiries or applications and are unable to respond to direct requests for funding at this time.
As a small family charitable trust, our grantmaking approach is based on proactive research and trustee networks rather than an open application process. We prioritise building longterm, meaningful relationships with a select number of organisations, allowing for a more flexible and impactful funding approach."
The Hilden Charitable Fund,232591,Restructured,01/07/2025,"The Charity have opened their UK Funding programme until 3pm on Thursday 21st August 2025. If you were funded by the Trust for 2 years in 2024  you cannot apply in 2025, but you can apply if you had one year's funding or were unsuccessful. Please ensure to read all the guidance throughout the website as some things will have changed - especially re eligibility - since last year. https://hildencharitablefund.org/uk-funding/",
Thistle Trust ,SC003834,Closing,01/06/2025,Closing and sounds like they've allocated their final spending already,
,,Re-Opening,01/06/2025,Funding window is currently closed. It will re-open on 1st July 2025,
The Gosling Foundation Limited,326840,Restructuring,01/06/2025,"The Foundation has made permanent change to their priorities which now does not include Education. If your education project relates specifically to young people specifically, then depending what it is, you could still apply and choose the appropriate category within Youth.",
The Ingram Trust,1040194,Paused,01/06/2025,Have paused to new applications.,".
   The trustees receive an extremely high number of applications for support from a wide range of charities. The numbers received are far more than the Ingram Trust is able to help or sometimes even respond to. As a result the administration involved in handling these requests has become out of proportion to the amount of funds available. The trustees have therefore decided that it is not appropriate to encourage further applications at the present time it for the foreseeable future. ï¿½"
Jean And Roger Miller's Charitable Trust,SC046216,Restructuring,01/06/2025,The trust no longer accepts unsolicited applications and are going to wind up soon.,
The Cadogan Charity,247773,Fully Committed,01/06/2025,Would advise that the charity is currently heavily committed and not taking on new charities at this time,
The Matrix Trust,1081852,Restructuring,01/06/2025,The Fund have update their eligibility criteria,https://www.matrixlaw.co.uk/wp-content/uploads/2025/06/Funding-Information-Eligibility-Criteria-June-2025.pdf
The Tim Henman Foundation,1161964,Restructuring,01/06/2025,The foundation is focusing resources on direct delivery programmes rather than grant funding.,
The Toy Trust,1001634,Closing Early,01/06/2025,"Closing window on 12th June 2025, 24 hours before stated deadline",
The Matrix Trust,1081852,Re-Opened,01/06/2025,"Priority is given to projects where the benefit can be most widely felt, and from organisations based in London, and / or those organisations who focus is on supporting the needs of vulnerable persons such as people (particularly children) with disabilities, women in refuges, refugees and asylum seekers, people with mental health difficulties, prisoners etc.

https://www.matrixlaw.co.uk/wp-content/uploads/2025/06/Funding-Information-Eligibility-Criteria-June-2025.pdf",
Edith M Ellis Charitable Trust,212162,Restructuring,01/05/2025,Applications to the Trust's grant-giving programme closed on 31 May 2025.  The grant-making policy of the Trust is under review; this round of applications was the last of its kind.,
The Hamilton Wallace Trust,1052453,Closing,01/05/2025,,
